asset_code,source_turbine,started_at,ended_at,duration,source_status,severity,source_code,event_code,message,iec_category,external_event_id
PEN-T01,01,2023-01-01T04:20:33.000Z,2023-02-01T21:38:56.000Z,761:18:23,Warning,warning,5000,PEN-5000,"Breakdown obstacle light",Full Performance,01:2023-01-01T04:20:33.000Z:5000
PEN-T01,01,2023-02-01T19:44:13.000Z,2023-02-01T19:45:00.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-01T19:44:13.000Z:10
PEN-T01,01,2023-02-01T19:44:13.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-01T19:44:13.000Z:100070
PEN-T01,01,2023-02-01T19:45:00.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-01T19:45:00.000Z:100130
PEN-T01,01,2023-02-01T19:54:33.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-01T19:54:33.000Z:100180
PEN-T01,01,2023-02-01T19:55:49.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-01T19:55:49.000Z:100190
PEN-T01,01,2023-02-01T19:56:00.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-01T19:56:00.000Z:100200
PEN-T01,01,2023-02-01T19:56:30.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-01T19:56:30.000Z:100210
PEN-T01,01,2023-02-01T21:38:56.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-01T21:38:56.000Z:0
PEN-T01,01,2023-02-02T20:26:26.000Z,2023-02-02T20:37:28.000Z,00:11:02,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T20:26:26.000Z:64
PEN-T01,01,2023-02-02T20:26:26.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T20:26:26.000Z:100060
PEN-T01,01,2023-02-02T20:37:28.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T20:37:28.000Z:0
PEN-T01,01,2023-02-02T20:37:28.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T20:37:28.000Z:100130
PEN-T01,01,2023-02-02T20:39:28.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T20:39:28.000Z:100180
PEN-T01,01,2023-02-02T20:40:49.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-02T20:40:49.000Z:100190
PEN-T01,01,2023-02-02T20:41:00.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-02T20:41:00.000Z:100200
PEN-T01,01,2023-02-02T20:41:30.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-02T20:41:30.000Z:100210
PEN-T01,01,2023-02-02T20:50:17.000Z,2023-02-02T21:05:44.000Z,00:15:27,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T20:50:17.000Z:64
PEN-T01,01,2023-02-02T20:50:17.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T20:50:17.000Z:100060
PEN-T01,01,2023-02-02T21:05:44.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T21:05:44.000Z:0
PEN-T01,01,2023-02-02T21:05:44.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T21:05:44.000Z:100130
PEN-T01,01,2023-02-02T21:07:44.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T21:07:44.000Z:100180
PEN-T01,01,2023-02-02T21:08:45.000Z,2023-02-02T21:19:15.000Z,00:10:30,Stop,warning,4510,PEN-4510,"Tower oscillation Y level 1",Forced outage,01:2023-02-02T21:08:45.000Z:4510
PEN-T01,01,2023-02-02T21:08:45.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T21:08:45.000Z:100060
PEN-T01,01,2023-02-02T21:19:15.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T21:19:15.000Z:0
PEN-T01,01,2023-02-02T21:19:15.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T21:19:15.000Z:100130
PEN-T01,01,2023-02-02T21:21:15.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T21:21:15.000Z:100180
PEN-T01,01,2023-02-02T21:22:43.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-02T21:22:43.000Z:100190
PEN-T01,01,2023-02-02T21:22:54.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-02T21:22:54.000Z:100200
PEN-T01,01,2023-02-02T21:23:24.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-02T21:23:24.000Z:100210
PEN-T01,01,2023-02-02T21:35:28.000Z,2023-02-02T22:13:35.000Z,00:38:07,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T21:35:28.000Z:64
PEN-T01,01,2023-02-02T21:35:28.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T21:35:28.000Z:100060
PEN-T01,01,2023-02-02T22:13:35.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T22:13:35.000Z:0
PEN-T01,01,2023-02-02T22:13:35.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T22:13:35.000Z:100130
PEN-T01,01,2023-02-02T22:15:35.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T22:15:35.000Z:100180
PEN-T01,01,2023-02-02T22:16:20.000Z,2023-02-02T23:07:26.000Z,00:51:06,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T22:16:20.000Z:64
PEN-T01,01,2023-02-02T22:16:20.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T22:16:20.000Z:100060
PEN-T01,01,2023-02-02T23:07:26.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T23:07:26.000Z:0
PEN-T01,01,2023-02-02T23:07:26.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T23:07:26.000Z:100130
PEN-T01,01,2023-02-02T23:09:26.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T23:09:26.000Z:100180
PEN-T01,01,2023-02-02T23:11:09.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-02T23:11:09.000Z:100190
PEN-T01,01,2023-02-02T23:11:20.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-02T23:11:20.000Z:100200
PEN-T01,01,2023-02-02T23:11:50.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-02T23:11:50.000Z:100210
PEN-T01,01,2023-02-02T23:12:06.000Z,2023-02-02T23:52:06.000Z,00:40:00,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T23:12:06.000Z:64
PEN-T01,01,2023-02-02T23:12:06.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T23:12:06.000Z:100060
PEN-T01,01,2023-02-02T23:52:06.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T23:52:06.000Z:0
PEN-T01,01,2023-02-02T23:52:06.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T23:52:06.000Z:100130
PEN-T01,01,2023-02-02T23:54:08.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T23:54:08.000Z:100180
