# This file was exported by Greenbyte at 2025-08-13 10:49:26. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 01
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2023-02-01 00:00:00 - 2023-03-01 00:00:00 (28 days)
#
# Penmanshiel 01 Sum production: 615691 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2023-01-01 04:20:33,2023-02-01 21:38:56,761:18:23,Warning,5000,Breakdown obstacle light,,Warnings (27),Full Performance,,
2023-02-01 19:44:13,2023-02-01 19:45:00,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-01 19:44:13,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-01 19:45:00,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-01 19:54:33,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-01 19:55:49,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-01 19:56:00,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-01 19:56:30,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-01 21:38:56,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-02 20:26:26,2023-02-02 20:37:28,00:11:02,Stop,64,Max. wind speed,,External stop (low wind speed)  (5),Out of Environmental Specification,10 (Ext) Environmental,
2023-02-02 20:26:26,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-02 20:37:28,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-02 20:37:28,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-02 20:39:28,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-02 20:40:49,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-02 20:41:00,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-02 20:41:30,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-02 20:50:17,2023-02-02 21:05:44,00:15:27,Stop,64,Max. wind speed,,External stop (low wind speed)  (5),Out of Environmental Specification,10 (Ext) Environmental,
2023-02-02 20:50:17,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-02 21:05:44,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-02 21:05:44,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-02 21:07:44,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-02 21:08:45,2023-02-02 21:19:15,00:10:30,Stop,4510,Tower oscillation Y level 1,,Safety stop of WEC (15),Forced outage,01 (Ext) Suspended Environmental,
